,Team,Year,RV
0,BUF,1990,-1.8850087669423274
1,BUF,1991,-0.7093989597309339
2,BUF,1992,-3.2551976099860087
3,BUF,1993,-3.173948071049907
4,BUF,1994,-0.7543154450295134
5,BUF,1995,4.8513697199236985
6,BUF,1996,3.7504528435030915
7,BUF,1997,1.8388983138336366
8,BUF,1998,-4.8063456893944245
9,BUF,1999,4.654242776496556
10,BUF,2000,-2.561099294230205
11,BUF,2001,6.673382255474588
12,BUF,2002,2.83126325998949
13,BUF,2003,3.088421922871923
14,BUF,2004,-9.668067580043653
15,BUF,2005,-2.664388932952749
16,BUF,2006,1.1408962215237004
17,BUF,2007,3.353856282348577
18,BUF,2008,-3.0295571402345747
19,BUF,2009,2.3899936022019475
20,BUF,2010,-3.92620667331429
21,BUF,2011,-2.0036049065062276
22,BUF,2012,-1.7160884650072856
23,BUF,2013,-1.3440061542683297
24,BUF,2014,2.111571646859042
25,BUF,2015,0.6998488725853518
26,BUF,2016,-2.2871400641476396
27,BUF,2017,0.6823627189164575
28,MIA,1990,3.2411989942381427
29,MIA,1991,-0.7880338919623127
30,MIA,1992,0.25730194605092965
31,MIA,1993,3.7641202542582604
32,MIA,1994,2.9422223113759807
33,MIA,1995,-1.1919757250294563
34,MIA,1996,-0.9760942674742014
35,MIA,1997,0.6829589477750206
36,MIA,1998,-2.276503377651072
37,MIA,1999,-2.8930504691913126
38,MIA,2000,-3.1464742155604672
39,MIA,2001,1.5756116943330867
40,MIA,2002,-0.9560473027520768
41,MIA,2003,1.925034125422451
42,MIA,2004,2.421310969439753
43,MIA,2005,0.009480319682168364
44,MIA,2006,-1.6765709321846132
45,MIA,2007,-0.93698339286139
46,MIA,2008,0.5585924441362266
47,MIA,2009,-1.8654890400251176
48,MIA,2010,6.939682131632004
49,MIA,2011,-0.025930246506268812
50,MIA,2012,3.7029141679786557
51,MIA,2013,-3.960609739162908
52,MIA,2014,-0.41166116078059134
53,MIA,2015,1.2422573260510887
54,MIA,2016,-1.1083726043071143
55,MIA,2017,-0.4601241066190684
56,NYJ,1990,-0.7302102288360534
57,NYJ,1991,-0.8209921398087668
58,NYJ,1992,1.0669122122279213
59,NYJ,1993,1.5724681947257895
60,NYJ,1994,-0.6090561439708352
61,NYJ,1995,-1.1246944438004154
62,NYJ,1996,4.194916605355282
63,NYJ,1997,2.9483663833779734
64,NYJ,1998,0.03147018789256036
65,NYJ,1999,4.635887236072964
66,NYJ,2000,-0.164879294531927
67,NYJ,2001,0.9491582076502612
68,NYJ,2002,2.405204101233605
69,NYJ,2003,-8.28600723849377
70,NYJ,2004,1.9931122180418857
71,NYJ,2005,2.2345911198371233
72,NYJ,2006,0.28129484283997075
73,NYJ,2007,5.451104961640892
74,NYJ,2008,3.3404178422122466
75,NYJ,2009,10.05626081592333
76,NYJ,2010,-8.288187177122316
77,NYJ,2011,3.2360441615026834
78,NYJ,2012,0.3181032198253093
79,NYJ,2013,-1.0235866043001653
80,NYJ,2014,-4.86899156223079
81,NYJ,2015,-2.7489228287865743
82,NYJ,2016,0.5189797863943665
83,NYJ,2017,-0.07936056977267318
84,NWE,1990,-1.062052428986303
85,NWE,1991,-0.6932578556838537
86,NWE,1992,-0.9447183799647472
87,NWE,1993,-1.9969519501326467
88,NWE,1994,-0.7167379732400576
89,NWE,1995,8.540314398711576
90,NWE,1996,3.9694747282580685
91,NWE,1997,-5.639796223333543
92,NWE,1998,-4.818442269216136
93,NWE,1999,-0.8207557454372484
94,NWE,2000,0.11735708023355737
95,NWE,2001,-4.836653300159866
96,NWE,2002,3.690433249684753
97,NWE,2003,2.1524772399363434
98,NWE,2004,-1.8286933006264379
99,NWE,2005,4.792195802381406
100,NWE,2006,-3.1784067329422605
101,NWE,2007,-6.08318296618003
102,NWE,2008,-4.447172596985239
103,NWE,2009,0.5340035757467662
104,NWE,2010,1.6039680333202249
105,NWE,2011,3.6327102865590217
106,NWE,2012,-1.2125401231906296
107,NWE,2013,-0.852208016550999
108,NWE,2014,-1.4379863672310462
109,NWE,2015,1.9103259260473933
110,NWE,2016,2.3158268216445763
111,NWE,2017,-1.3245947994219316
112,BAL,1990,1.033393466439266
113,BAL,1991,0.7033266314584417
114,BAL,1992,-3.3130224981169927
115,BAL,1993,-3.279017691078822
116,BAL,1994,-7.08913931236282
117,BAL,1995,-2.9631965466057726
118,BAL,1996,-1.24682013962367
119,BAL,1997,3.6015900538260204
120,BAL,1998,-2.636855798509455
121,BAL,1999,2.1616421451483494
122,BAL,2000,2.0443104114677597
123,BAL,2001,-2.486320235559952
124,BAL,2002,0.22069538690894674
125,BAL,2003,-1.411502438712466
126,BAL,2004,-3.134060373139033
127,BAL,2005,-0.9831396893775712
128,BAL,2006,0.18750599974757456
129,BAL,2007,0.10405082038322683
130,BAL,2008,-0.4608611221534192
131,BAL,2009,1.3325234152704277
132,BAL,2010,-3.639756203610473
133,BAL,2011,6.684401543027009
134,BAL,2012,-4.064308416091464
135,BAL,2013,1.578612718942249
136,BAL,2014,0.8863442400811272
137,BAL,2015,-2.4694130454503727
138,BAL,2016,-1.4356963616156955
139,BAL,2017,-1.2349175333861349
140,CIN,1990,-0.26569406144993707
141,CIN,1991,-0.6008680364912974
142,CIN,1992,-1.735945660302114
143,CIN,1993,1.2622439603421993
144,CIN,1994,-2.568320773259449
